SAM,AREA_Dry,AREA_logdiff,AREA_Wet,Oilpct_Dry,Oilpct_logdiff,Oilpct_Wet
SAM001,11026.28,-0.023113140839023,11284.1,38.8327353561418,-0.031306463872979,40.0676810114378
SAM002,5009.24,-0.451693166041181,7869.365,36.0815967404002,0.013935777182836,35.5822590583301
SAM003,4146.585,-0.069218011347299,4443.77,12.0313445218427,0.071103085580305,11.2055837395113
SAM004,6852.74,-1.00680114735855,18754.8,34.3480486348329,0.018052100833954,33.7335573144267
SAM005,3921.345,-1.07722016822789,11515.05,29.2909409206006,0.079633981307091,27.0488449360783
SAM006,5647.32,-0.755848298826859,12025.5,22.512331316163,0.068098411657039,21.0303115871132
SAM007,6920.26,-0.707008238766829,14033.7,39.0864452007592,-0.093057920853301,42.8983626132969
SAM008,12529.37,0.325654436071282,9046.89,5.35566852281839,0.141998373879775,4.64669940917549
SAM009,4487.565,-0.731212304072381,9323.355,32.0703490315217,0.065265154847447,30.0441132180885
SAM010,5207.955,-0.103334541740159,5774.905,32.730634203538,0.031040723845978,31.7302581471595
SAM011,3128.01,-0.713386875566211,6383.93,31.3618042159588,-0.01088196596963,31.7049459443389
SAM012,6988.815,-0.028008044023723,7187.325,35.0702946398033,0.195258494183289,28.8495954813071
SAM013,4903.705,-0.339156539955633,6883.64,31.2842170706725,-0.137952603928327,35.9118141873464
SAM014,5655.56,-0.629537578782768,10614.03,31.8108998655713,-0.062014043740517,33.8460749310381
SAM015,5837.775,0.283052055429053,4398.65,29.9918018339495,-0.070120045528154,32.1703145080693
SAM016,5829.34,-0.426154201596384,8926.8,30.1379491290721,-0.015435070836092,30.6067391049142
SAM017,12142.5,NA,NA,30.5077008077978,0.098733461381619,27.6394935559454
SAM018,NA,NA,12323.65,35.1387111068067,-0.063705189484483,37.4500705110361
SAM020,5546.87,NA,NA,33.9856754731507,0.014651069990694,33.4913787926029
SAM021,NA,NA,5321.47,22.3523414714006,-0.001793350404919,22.3924630172716
SAM022,5182.905,-0.367983437352956,7488.355,38.6177918749363,0.041741865200895,37.0389934405308
SAM023,7266.38,-0.342359561297123,10233,37.0515424936112,0.078548975403834,34.2525497854473
SAM024,6037.77,0.061075583238765,5680.045,30.5406633957174,0.054022028905115,28.9345676511009
SAM025,7136.385,0.105847419697167,6419.62,39.4880623754541,-0.017191370029376,40.1727850643716
SAM026,7054.89,-0.033305049835629,7293.81,24.1794177718205,-0.051234011343342,25.4505098787537
SAM027,4875.94,-0.3460186672167,6891.795,21.2130921247973,0.102768328119635,19.1413365925332
SAM029,3167.74,-0.516924597817436,5311.865,15.5697654865323,-0.105366315103415,17.2998397586688
SAM030,3777.74,-0.128095081054862,4294.01,27.6762857912051,-0.007711470128617,27.8905356714027
SAM031,5569.91,-0.116182887258837,6256.13,30.2154109779102,0.017054217866479,29.7044799243942
SAM032,6115.29,0.027117819637745,5951.685,33.0887650745319,-0.020154260247452,33.7624102649417
SAM033,NA,NA,13753.45,28.4716810349833,0.074090977621738,26.4384388375611
SAM034,8526.715,-0.011322226636217,8623.805,44.0186873667385,0.016098655022846,43.3157193065032
SAM035,5888.965,-0.241818759873581,7499.97,32.2961105814454,0.026008828849206,31.466955979151
SAM036,NA,NA,7374.23,28.8803516666647,-0.090304994852,31.6097774473711
SAM037,8394.095,0.094667672539128,7635.9,26.6075142002092,-0.028570227463562,27.3786603903792
SAM038,9100.43,0.080039365346213,8400.425,32.5920894275169,-0.077734189642832,35.2266815121122
SAM039,NA,NA,4206.02,32.5818107063592,0.064412879448269,30.5492855599436
SAM040,4047.835,-0.664483184803601,7866.91,27.1573089569917,-0.088910713783796,29.6824787442325
SAM041,7146.21,-0.54411204494116,12313.475,33.1193618690575,-0.009807100631421,33.445764700369
SAM042,5601.545,-0.458117103931938,8856.57,30.7517029129535,-0.123934955535212,34.8091515414466
SAM043,9257.73,-0.676020406508803,18201.05,24.8049204680441,0.116511088353407,22.0768809720565
SAM044,6030.405,-1.03048465625742,16899.75,34.0544609768312,0.012364088156047,33.6360008887592
SAM045,7201.355,-0.044123056635305,7526.215,34.4305779609706,-0.038573117480311,35.7846196092919
SAM047,6040.77,-0.899394301165906,14848.9,40.056529951936,0.043250311103536,38.3610029006848
SAM048,9236.29,0.173051609142359,7768.59,33.0318153996769,0.067689631998837,30.86989904061
SAM049,8715.25,-0.149162581000684,10117.2,35.2389029267391,-0.030948982874079,36.346563197303
SAM050,5425.695,-0.217752592094415,6745.655,33.0102396338024,0.017988913607939,32.4217304751532
SAM051,10359.21,-0.696064475941746,20778.95,32.3441472996917,-0.086735727086046,35.2747994915943
SAM052,4981.145,-0.701567019280382,10046.525,23.5022717090694,0.570983868854174,13.2780622181705
SAM053,7781.54,-0.334997331778039,10878.1,37.5442520925471,-0.023716113378971,38.4452982556935
SAM054,4985.835,-0.6959802010917,9999.96,38.7577394061523,-0.053474482707664,40.8867048403151
SAM055,NA,NA,4462.68,32.8057492762202,-0.035388483421944,33.9874815211646
SAM056,NA,NA,5429.24,27.7470298382165,-0.009129009520195,28.0014924664291
SAM057,5894.39,0.432263514899821,3825.685,39.4621479072864,-0.00013912563859,39.4676384857454
SAM058,NA,NA,9625.895,37.32049710518,0.157548181654792,31.8804992570824
SAM059,8311,-0.618885692925723,15432.345,41.5632419733524,-0.017736512682919,42.3070053279472
SAM060,4759.605,-0.424718210299305,7278.195,19.8565631254271,0.022329705380234,19.418085676262
SAM061,9885.255,-0.219157673316998,12307.415,37.8090014229676,-0.024321600587237,38.7398508422815
SAM062,10853.2,-0.656255232001985,20920.2,38.2315637669632,0.011239823814981,37.8042536697818
SAM063,7816.745,-0.459793845695557,12379.75,34.137516705881,-0.066865048548624,36.4981664368099
SAM064,9831.815,0.395967859708717,6617.09,27.6673805160222,0.052471366226512,26.2530652684848
SAM065,3366.605,-1.06087013277502,9725.73,25.9323030705553,0.003936543865128,25.8304200869793
SAM066,8285.19,-1.08454225206238,24508.3,37.0845290075547,0.041285673117872,35.5846441834386
SAM067,6369.5,-0.520494561831839,10718.975,31.4065316390261,0.087173143871913,28.7846638871263
SAM068,13409.45,0.019684322208622,13148.075,22.9847379979973,-0.176518045941998,27.4220785744347
SAM069,5415.175,-0.129401472028421,6163.265,29.9500867295312,0.066231643152274,28.0307067023624
SAM070,4273.285,-1.167546265399,13734.75,20.0617060542645,-0.032709090537033,20.7287560419926
SAM072,7957.91,-0.005729410916205,8003.635,24.8898542304871,0.039208963307407,23.9328333501503
SAM073,4444.82,-0.160386312099126,5218.06,33.2577368306658,-0.019181937114578,33.9018424947039
SAM074,8443.095,0.093810551826483,7687.06,30.825607855052,-0.056026572068034,32.601957757206
SAM076,4097.06,-0.33892760279061,5749.985,16.809654785925,0.056039303672002,15.8935617732843
SAM077,9487.405,-0.000372529853459,9490.94,29.3036513443659,-0.017578705081814,29.8233258092275
SAM078,4169.61,-0.359584169964451,5973.94,18.6513134734622,-0.017822101243943,18.9866988291529
SAM080,10313.69,-0.484561873894458,16743.9,38.2183334572446,0.022569378430144,37.3654303764584
SAM081,NA,NA,4354.08,33.823810255025,-0.039151728662569,35.1743360978674
SAM082,7402.68,0.046010613076023,7069.795,11.9715289726627,0.04631954174441,11.4296596834956
SAM083,5908.865,-0.475507282695945,9506.36,31.1810840303779,0.007060681364155,30.9616997441382
SAM084,10047.91,-0.373954776863552,14604.35,23.4121763652313,-0.065911500948454,25.0072990801595
SAM088,8339.67,-0.065959779178733,8908.3,33.4378720580718,0.034028468567933,32.3191742133434
SAM090,7007.065,-0.0463320383226,7339.355,31.1732351708574,0.066506743549972,29.1674434238641
SAM091,4265.935,-0.491156116688478,6971.41,18.0070907575291,-0.130230660279654,20.5117167484855
SAM092,9845.295,-0.465392338831139,15680,15.3468443483777,-0.29511748267335,20.6151729503298
SAM095,12492.51,0.474956273654977,7769.245,20.8644216498924,0.041693185665856,20.0124025593322
SAM096,5867.92,-0.422418074778889,8952.37,38.5458814235055,-0.058532043881323,40.8693870912576
SAM097,NA,NA,5976.225,6.21663028701462,-0.084651696224647,6.76579452860382
SAM098,12854.45,-0.319428157368362,17692.1,27.4123271014873,0.068776690256817,25.5903701878304
SAM099,2790.37,-0.356245159474936,3984.53,22.4691206911644,-0.147613523195685,26.0431681857159
SAM100,5053.355,NA,NA,22.613338354518,0.082483779768657,20.8229583554287
SAM101,5156.09,-0.264253148792399,6715.59,24.0973526392615,-0.154648329914056,28.1275722855299
SAM102,6676.295,0.321764181404776,4839.44,29.6371067981237,-0.047016609265673,31.06381986351
SAM103,6305.58,NA,NA,28.5720628610509,-0.041966217296856,29.7966399762635
SAM104,7818.56,-0.388191715240607,11527,35.0606297029333,-0.046819303096172,36.7411780268628
SAM105,8470.22,-0.628894325480696,15886.2,34.8306387734929,-0.009298867851158,35.1560348434281
SAM106,5994.3,NA,NA,NA,NA,NA
SAM107,5642.24,-0.76853662341853,12168.1,32.3273426612939,-0.019498615181562,32.9638665762659
SAM108,7458.26,-0.185140289749253,8975.175,25.0165537721657,0.032735849988792,24.2108748608834
SAM109,7182.8,-0.055171297309109,7590.22,25.5584808600628,5.14987742006312E-05,25.5571646635196
SAM110,11560.5,-0.445069459218367,18041.3,19.3131299795077,-0.03720556728968,20.0452204084002
SAM111,4203.775,-0.844794085001737,9784.28,18.8710966680675,0.026666698141826,18.374517322022
SAM112,8626.155,-1.20002293304526,28640.5,16.8038937901768,-0.117840043168094,18.9054582363613
SAM113,NA,NA,NA,NA,NA,14.5091199157819
SAM114,8599.235,0.300974495728207,6364.265,NA,NA,28.2668469703176
SAM115,5494.73,-0.838729444745132,12711.65,33.9230229537522,-0.043258050841287,35.4226688395033
SAM116,NA,NA,10539.855,27.3093425619544,0.02967525038197,26.5108374999508
SAM117,5436.415,0.341630452036975,3863.175,31.5500489181278,-0.013044597416228,31.9643026169383
SAM119,7334.695,0.625613875632212,3923.57,27.5725731874045,-0.045357470666866,28.851991620872
SAM121,4159.35,-0.332827499836039,5801.905,25.2233300255424,0.013102638480164,24.8949935851539
SAM122,NA,NA,7677.56,29.4877442772173,-0.052960872935687,31.0915351892999
SAM123,7954.335,-0.155329126586832,9291,31.3274125599635,0.043298157098524,29.9999392840705
SAM124,7484.53,-0.433251364840773,11543.12,34.1444815185424,0.004438895838623,33.993253612393
SAM126,5813.455,NA,NA,31.042828415775,-0.015496888080713,31.5276425058437
SAM129,6134.17,-0.023570834875558,6280.475,25.7363053304161,0.298082553498699,19.1025168822287
SAM130,6851.32,-0.696401106754694,13747.3,35.4742138786469,0.06166800559761,33.3526776113115
SAM131,4824.375,-0.075881831465976,5204.705,26.3521968500873,-0.087793475457052,28.7703435539871
SAM132,2644.64,-1.02975485717601,7405.995,25.2370854959234,0.036379228534079,24.3354791012646
SAM133,6472.655,-0.620901350232259,12043.05,37.9963113337198,0.013408168674894,37.4902506374881
SAM134,10800.285,-0.394827058972862,16029,14.5660260782338,0.393640206666549,9.82619353215687
SAM135,6249.455,-0.757372825478317,13328,33.7355275615648,-0.004647254151505,33.8926699896626
SAM136,5388.19,-0.368589617383304,7789.675,29.5132136782226,-0.045148278999005,30.8762216986906
SAM137,6085.995,-0.183771377339156,7313.79,32.6821353423875,0.00117118665808,32.643880867455
SAM138,6804.87,-0.320319502283175,9374.17,32.0213940756474,0.106677270402908,28.7813317508187
SAM139,NA,NA,9836.415,36.410397386199,0.168412019295543,30.7669898474734
SAM140,5130.76,-0.879515007713939,12363.75,29.3905055552555,-0.018102506265358,29.92739220172
SAM141,NA,NA,NA,30.9140363789593,-0.000171393115166,30.9193352860417
SAM142,4387.94,-0.465808795782323,6991.315,35.768790598125,-0.047162409343737,37.4961458940163
SAM143,10810.35,-0.326785903600515,14988.6,31.1313993436442,-0.008244398317974,31.389119915782
SAM144,5646.77,0.23223550753643,4476.53,30.2227557851974,-0.053857084102536,31.8950947241386
SAM145,11148.05,-0.648118305911186,21314.4,34.2435140119229,-0.036367852117633,35.5117996932236
SAM146,6606.425,-0.240975046041921,8406.605,26.5208070336124,0.082687232458426,24.4160905450938
SAM147,8776.63,-0.762293478061491,18809.95,26.20111681078,-0.036420856322257,27.1729744384721
SAM148,9471.16,0.301671467071181,7004.69,36.2012890965897,0.16904623402413,30.5708975078343
SAM149,4356.82,-0.698156623788433,8757.4,31.5518995243694,0.008079469421091,31.2980039688179
SAM150,5484.87,-0.409686610409921,8262.11,30.5343268348184,0.136739388645866,26.6319635627157
SAM151,NA,NA,16523.25,33.2597171003311,0.091924399782368,30.3386527616798
SAM152,6719.8,-0.032146115353193,6939.325,36.1817510350211,0.06290220498427,33.9759415162477
SAM153,6156.025,-0.540000838356516,10563.79,28.9967517178652,0.043087003980052,27.7739022003328
SAM154,4253.86,-0.766413840008839,9154.455,36.4955559120004,-0.086259803033086,39.7834222991647
SAM155,4075.95,-0.491083201480402,6660.45,35.0085303973889,-0.014783843547174,35.5299357244074
SAM156,10432.12,0.315961301982489,7605.93,27.085686212674,0.016189934983315,26.6507014030645
SAM157,7763.985,-0.264596399028564,10115.735,27.3351895358841,0.01289695638149,26.9849123984047
SAM158,8108.145,-0.369233661243921,11729.45,32.1737132942799,0.026353237603202,31.3369064965961
SAM159,NA,NA,15499.45,32.4656100157297,0.200902671902724,26.5566106084473
SAM160,9272.17,0.197073438261127,7613.66,34.9693437482318,0.13245542773712,30.6311160605752
SAM161,5701.22,-0.558900396947765,9970,30.4837513713706,-0.046299452066315,31.9283155796221
SAM162,4843.095,-0.715212064353866,9902.29,34.528354500262,-0.08651561489073,37.6486264290031
SAM163,4979.355,-0.546935563667281,8604.075,28.6062402558892,0.051676076656079,27.1655277703178
SAM164,7626.48,0.156793437981326,6519.73,34.671719569821,-0.037521943819505,35.9973851282999
SAM165,4263.45,-0.782444387071804,9323.36,32.3568294190377,0.025806320808609,31.5325008893483
SAM166,7305.075,0.05641331926776,6904.38,37.3557785338304,0.030126881984574,36.2471490283947
SAM167,6772.92,-0.122514894325779,7655.675,23.7462928741037,-0.085672627751691,25.870389613923
SAM168,7112.03,0.195909461728577,5846.705,29.0281063915637,-0.024541856648987,29.7493238259552
SAM169,4479.665,-0.285694179310932,5961.025,35.5729734263991,0.016667452641368,34.9849763951013
SAM170,10338.955,-0.006688127328419,10408.335,16.741801833949,-0.12235593889474,18.920852762094
SAM171,6212.105,-0.431643727004175,9565.315,25.3379429327189,-0.071397586761481,27.2131572751835
SAM172,NA,NA,9426.945,30.1277442772173,0.151031376774566,25.9044587714436
SAM173,3557.34,-0.908972050194347,8828.5,35.9009896558393,0.099979252198624,32.4852327752907
SAM174,5479.305,-0.405309662689042,8217.68,35.9426667166168,0.126867051621069,31.6601257428675
SAM176,4881.91,-0.385503063282574,7178.135,34.8767255976466,0.054103313527399,33.0399159542664
SAM177,4056.82,-1.29494372514525,14810.6,20.1775667951653,-0.048965628720114,21.1901629311609
SAM178,11237.1,-0.162823899408551,13224.15,36.0519080684557,-0.056260058251137,38.1383313656988
SAM179,3456.885,-0.744431181855804,7277.585,33.5974010097849,0.000180673197577,33.5913314082378
SAM180,4366.28,-0.701742767077613,8807.945,36.2960363620473,-0.02200523821557,37.1035919281197
SAM181,4304.55,-0.879070344504054,10368.195,21.7100949128917,-0.054742639070689,22.9316945422103
SAM182,8149.555,-0.227625150223933,10232.7,15.8073322854035,-0.091275309013899,17.3180482665639
SAM183,10314.2,-0.141061120924469,11876.75,25.0530045590701,-0.085397083370164,27.2864664866899
SAM184,7847.61,0.084042676617315,7215.03,25.1206289397952,-0.082987085090631,27.2942610949297
SAM185,3023.31,-1.35219758301216,11687.85,39.8103738310672,-0.005338183151649,40.023457130748
SAM186,6402.925,-0.548061801568583,11076.4,NA,NA,33.500857482534
SAM187,13632.6,0.24214547817474,10700.8,22.7151829834791,-0.037079646151267,23.5732642940252
SAM188,11559.61,0.482747370835295,7133.27,27.8947964971903,0.09824797806835,25.2845158817326
SAM189,5477.835,-0.679080598797615,10802.64,31.4700425067719,-0.053750960608876,33.2078741964212
SAM190,7882.855,-0.147988836959286,9140.17,32.6298123136493,0.030214761628279,31.6586558256915
SAM191,6569.56,0.306079809049974,4837.35,29.8262922575738,0.078869104193304,27.56429265836
SAM192,NA,NA,NA,37.5971458398033,0.067037971763214,35.1593352860411
SAM193,NA,NA,NA,37.1201007851239,-0.081394782956979,40.2678508927284
SAM194,6048.505,-0.378902048638222,8834.93,33.9120113303407,0.035337106179771,32.7345849256967
SAM195,4121.495,-0.436790680697408,6378.97,32.4388465655655,-0.020810998881418,33.1210049438568
SAM196,5740.42,-0.461225434763557,9104.4,30.2728847924646,0.197498765826672,24.8474133031618
SAM197,7135.48,0.172601145249114,6004.315,33.7253781431896,0.019120329893137,33.0866634637081
SAM198,5439.525,-0.258207580084163,7042.05,33.3157532459529,-0.06622568530203,35.5968104902901
SAM199,6861.67,-0.393001562269772,10165.02,35.057832763772,-0.036726087265477,36.369305004405
SAM200,6852.695,-0.779206045532987,14937.1,34.4958241287115,0.06236981097555,32.4100469567735
SAM201,13251.3,0.209142930612508,10750.505,18.1471438417238,-0.153585266171738,21.1597004488265
SAM203,NA,NA,NA,25.7585701528877,0.012835486767712,25.4300591758465
SAM204,7038.49,-0.231083824078524,8868.25,28.0960985754198,0.043358990298058,26.9039128643272
SAM205,10190.075,0.416475617585187,6718.995,33.9943362146342,-0.028108105834558,34.9634082020244
SAM206,6847.54,-0.151640061023825,7968.765,36.6232533799578,0.066708885160921,34.2598629211746
SAM207,5742.62,NA,NA,32.1946660924538,0.105312342867516,28.9765953330381
SAM208,3165.18,NA,NA,32.8071905888127,-0.042452088996924,34.2299093962968
SAM209,3245.125,-0.953888168660391,8423.64,33.8730361552273,0.046785253097833,32.3247778144291
SAM210,6369.435,-0.691320390357843,12715.62,35.6119599708648,0.039129194272459,34.2454031603148
SAM211,9274.16,-0.19715024500808,11295.25,29.491774345092,0.419493502252744,19.3872936783314
SAM212,6221.21,-0.55952691748907,10886.15,29.3972054067108,-0.042788864877114,30.6823779152129
SAM213,3145.95,-0.569289732387134,5558.93,35.2595322868531,0.030532150279143,34.1992516382821
SAM214,4774.32,0.223261637928916,3819.005,36.5292997855704,0.011361913248911,36.1166059855898
SAM215,6365.615,-0.279887797037309,8421.59,32.699774878866,0.04161777531199,31.3668128421337
SAM216,4578.845,-0.694351453336006,9168.725,32.2285176346879,0.028143632366833,31.3341347080575
SAM217,8115.475,NA,NA,29.1239718739527,0.03753331744098,28.0511125239943
SAM218,6352.8,-0.007584344451084,6401.165,29.7502339777726,0.053638717191978,28.1965119215289
SAM219,15208.1,0.051213354034777,14448.85,25.7155596501838,-0.038669304209575,26.7294391200858
SAM221,8715.71,0.020859232375805,8535.79,19.9255267476942,-0.163382860299153,23.4620570142339
SAM222,3830.465,-0.632241384943041,7208.26,32.5017543626355,-0.074744999927344,35.0241935926979
SAM223,11033.615,-0.089251934690102,12063.67,29.7216056863768,0.06902623441867,27.7392398294824
SAM225,9139.81,NA,NA,32.6150109817717,-0.040410160587834,33.9599810198267
SAM226,14609,-0.063695363397871,15569.8,23.4564147828719,-0.100900786198867,25.9467093744356
SAM227,NA,NA,7495.725,19.6338276761855,-0.078478281343104,21.2367306806248
SAM228,9567.1,-0.433841336025873,14763.7,31.7900804823248,-0.01243331574462,32.1878039778362
SAM230,7535.47,-0.249363152423607,9669.575,26.4360738536445,-0.062068957457591,28.128926755124
SAM231,5388.755,-0.340467026674649,7574.455,32.9558370696934,-0.010655686748515,33.3088817724307
SAM232,4430.535,-0.301621150086083,5990.3,32.7928879287984,-0.010490624092598,33.1387165966241
SAM233,9042.475,NA,NA,33.4399449431826,0.008206365524104,33.1666474551683
SAM235,3823.175,-0.937348969071955,9761.345,14.1443537291747,0.095779090946841,12.8524753080709
SAM236,3906.045,-0.78966640902317,8603.695,19.2865046689127,0.41728130894504,12.7066350564955
SAM237,4352.005,-0.040802463101958,4533.25,24.5125833633542,-0.129716182873149,27.9077038743488
SAM238,5703.9,-1.17192307818743,18413.3,30.3347725017657,-0.036853658916532,31.4735754996253
SAM239,3923.39,-0.492493193864417,6420.2,28.3732107878197,-0.009425543561959,28.6419080416566
SAM240,5605.245,NA,NA,24.7103150841736,-0.064552894211196,26.3580482665643
SAM241,NA,NA,6970.22,38.7600676455971,0.102380815410086,34.9881599408627
SAM242,5990.045,-0.286958527375152,7980.95,33.4898893607596,-0.014912717729694,33.993057101957
SAM243,5204.53,-0.6922605404376,10399.835,31.0384728283467,0.030316049965341,30.1116290410736
SAM244,NA,NA,14085.8,39.1020994760951,-0.045114559599842,40.9065714049519
SAM246,12447.2,-0.158583606119564,14586.25,35.4652654444589,0.012450052718616,35.0264582742476
SAM247,6763.75,-0.628976730652006,12686.7,35.4780737194086,0.051893727013247,33.6839390244148
SAM248,7120.975,-0.933543850678094,18112.25,19.5993425114428,-0.221924692301804,24.4693352860418
SAM249,NA,NA,NA,30.9302515440866,0.087943796781039,28.3263062561408
SAM250,5189.51,-0.083312158737574,5640.38,36.7921465068144,-0.01812691693295,37.4651560561168
SAM251,4934.675,-0.366999350455384,7122.695,28.2359389527532,0.037166732662556,27.2057640602842
SAM252,6501.105,NA,NA,36.8939043123869,-0.02140536474424,37.6921446250011
SAM253,5382.625,-0.518464195521609,9039.83,21.9782926923923,-0.038233156853997,22.834862549019
SAM254,18002.2,0.176289415175846,15092.6,28.4091504016396,0.04854616550722,27.0629362305479
SAM256,5706.59,-0.203655444198043,6995.57,36.264320359829,0.11833751261742,32.2170828473673
SAM257,6278.82,-0.005801113125363,6315.35,30.0311024338446,-0.069654360505178,32.1974724107992
SAM258,7570.54,-0.261486287050547,9833.065,30.4078486809926,0.05121063024037,28.8898443025798
SAM259,11624.865,0.309818441424209,8527.77,32.4963759112275,-0.037940110479016,33.7529791040691
SAM260,11559,0.253868017754929,8967.405,31.6493815087792,0.227681585214896,25.2048647519208
SAM263,2579.87,-1.37487025430784,10202.26,35.5702370470236,0.08909304921857,32.538246114224
SAM264,4346.605,NA,NA,21.2757262191891,-0.383237354705154,31.212047666675
SAM265,7453.165,NA,NA,31.3865615433166,-0.062674127358875,33.41663909188
SAM266,3917.01,NA,NA,33.7224911489,0.029016327405583,32.7580482665643
SAM267,7351.765,-0.288250311894574,9807.925,29.5628038589804,-0.028392514112061,30.4141955663289
SAM268,7656.635,0.03899105638232,7363.84,24.1705767112424,-0.017169048785735,24.5891454535965
SAM269,5673.43,-0.917201582243198,14196.5,35.3540585137771,0.005451729782629,35.1618421718959
SAM270,8766.09,0.10370031504057,7902.59,14.8731430534189,-0.050331740047342,15.6408932544375
SAM271,NA,NA,NA,32.267463964858,0.04843475113121,30.7418421718958
SAM273,4946.005,-0.256335605543899,6391.16,20.5421746425037,-0.033734916315916,21.2469846983035
SAM274,6280.665,0.074332802136565,5830.735,37.6977114975219,-0.040371328633385,39.2507565130829
SAM275,11428.075,-0.071152261391983,12270.835,39.4707886828325,-0.013724967622093,40.0162586959533
SAM276,8467.66,-0.458298766949293,13390.6,38.3055687169513,0.032998726835293,37.0621619668443
SAM277,6455.515,-0.37366361533055,9380.175,31.8887306887739,-0.108989130197417,35.5607253241338
SAM278,7417.075,0.010988313376579,7336.02,34.2372076192546,-0.004532364470445,34.3927353104847
SAM279,6835.815,0.273452655688205,5200.335,32.2957494737033,-0.142995166110329,37.2603885219084
SAM280,10345.1,NA,NA,30.9124597780273,0.280552163115005,23.3502378083793
SAM281,2746.3,-0.595885930684201,4983.54,29.2271823471875,-0.008797195401987,29.4854338603384
SAM282,10496.115,-0.339169526978115,14734.25,39.8167412570255,0.020161751189946,39.0220045893558
SAM283,8772.565,-0.178298781978363,10484.815,25.9956935053487,0.052914043313196,24.6559153808017
SAM284,9675.9,NA,NA,30.8296547859239,-0.067817111035586,32.9929583554289
SAM286,5292.485,-0.357720880591334,7568.605,34.3210538615421,-0.006069984383817,34.530015678406
SAM287,7736.085,-0.008347211676238,7800.93,29.7260417476556,-0.177776886824591,35.5095038581305
SAM288,6021.08,0.295882466608937,4478.93,28.388061802693,0.113741317453694,25.3360271359191
SAM289,12916.03,-0.033103387449657,13350.75,31.8962610769956,-0.013065732416826,32.3157435445741
