SAM,FreshMass,DryMass,WaterContent,LeafArea,Perimeter,AspectRatio,Circularity,Solidity,LMA,LaminaThickness,LaminaDensity,LaminaToughness,ChlorophyllContent SPAD,ChlorophyllContentareabasis,ChlorophyllContentmassbasis,TrichomeDensity,AshContent,TotalPhenolics,TotalFlavonoids
SAM129,1.64,0.17,8.74,56.97,40.16,1.42,0.44,0.84,29.58,0.29,0.1,21.7,36.7,396.26,13.4,668,17.7,0.76,0.6
SAM130,2.59,0.41,5.46,73.96,51.47,1.42,0.36,0.78,57.43,0.39,0.14,30.13,39.27,445.45,8.58,626,9,2.54,1.86
SAM131,3.29,0.49,5.76,107.14,56.53,1.16,0.43,0.84,45.45,0.39,0.12,34,39.93,453.7,10.02,392,9.3,1.86,2.08
SAM132,2.13,0.25,7.34,71.18,48.17,1.25,0.38,0.83,36.05,0.4,0.09,28.1,39.13,440.19,12.26,484,17.17,0.9,1.48
SAM133,2.13,0.32,5.82,73.38,47.49,1.41,0.41,0.84,42.6,0.4,0.11,27.77,43.1,516.12,12.19,442.67,11.83,1.45,2.15
SAM134,2.68,0.39,6.25,79.75,51.16,1.4,0.38,0.78,47.09,0.42,0.11,26.7,40.37,461.82,9.96,404,11.73,1.37,1.89
SAM135,1.64,0.25,5.7,58.03,40.27,1.41,0.45,0.85,43.08,0.3,0.14,31.23,41.67,486.54,11.48,444,13.07,1.5,1.65
SAM136,2.42,0.28,7.64,75.62,49.19,1.53,0.39,0.79,37.01,0.33,0.12,22.67,47.17,598.59,16.17,516,14.73,1.15,1.68
SAM137,2.71,0.36,6.51,85.14,50.74,1.35,0.42,0.84,42.71,0.32,0.13,27,42.6,505.71,11.98,514.67,13.43,2.6,1.9
SAM138,2.06,0.23,7.97,64.29,42.68,1.35,0.44,0.86,36.05,0.45,0.08,24.1,43.8,528.32,14.71,384,16.6,0.84,1.76
SAM139,0.91,0.1,8.32,33.43,29.9,1.41,0.47,0.82,29.14,0.26,0.12,16.5,42.6,504.29,17.33,272,,,
SAM140,1.67,0.26,5.49,53.3,40.1,1.24,0.42,0.84,48.51,0.42,0.11,32.47,44.13,535.45,11.17,326.67,12.97,1.78,1.75
SAM141,2.61,0.38,5.92,83.71,53.61,1.29,0.37,0.8,45.03,0.4,0.12,27.57,41.4,482.4,10.7,532,10.43,1.62,1.73
SAM142,1.76,0.23,6.73,58.48,43.95,1.44,0.38,0.75,38.87,0.33,0.12,25.3,37.1,403.14,10.37,372,13.5,,
SAM143,2.9,0.34,7.63,93.82,51.12,1.27,0.45,0.84,36.34,0.37,0.1,23.47,40.4,462.98,12.83,662.67,14.5,1.13,1.79
SAM144,2.87,0.42,5.87,94.72,56.64,1.25,0.37,0.8,44.23,0.41,0.11,28,42.1,495.53,11.25,564,12.8,1.33,1.95
SAM145,1.35,0.16,7.41,55.7,35.27,1.41,0.56,0.91,29.18,0.3,0.1,21.23,37.67,416.69,14.17,256,15.7,0.77,1.51
SAM146,2.73,0.37,6.43,94.03,49.14,1.2,0.49,0.89,39.34,0.32,0.12,29.57,39.83,453.32,11.55,264,14.7,1.31,1.53
SAM147,2.6,0.31,7.58,93.48,52.73,1.16,0.42,0.82,32.91,0.29,0.11,28.1,38.77,432.89,13.31,422.67,11.93,1.35,1.7
SAM148,2.13,0.33,5.55,72.26,46.54,1.19,0.41,0.84,45.61,0.32,0.15,31.1,41.47,483.75,10.65,442.67,10.2,1.35,1.81
SAM149,2.03,0.25,7.16,66.98,44.49,1.26,0.42,0.85,37.17,0.39,0.1,25.1,40.4,462.4,12.44,306.67,13.13,1.73,1.86
SAM150,0.96,0.15,5.4,34.92,31.26,1.81,0.45,0.87,43.01,0.32,0.13,22.15,38.8,433.29,10.07,302,13.3,0.73,1.43
SAM151,2.69,0.36,6.7,88.89,61.36,1.51,0.3,0.79,39.32,0.35,0.11,27.1,40.3,460.73,11.96,446.67,10.7,1.89,1.55
SAM152,2.16,0.28,6.96,74.04,46.16,1.59,0.43,0.85,36.49,0.34,0.11,23.33,40.83,470.59,13.11,417.33,14.6,1.43,1.82
SAM153,2.45,,,73.87,51.38,1.45,0.35,0.82,,0.44,,28,41.97,492.63,,585.33,11.1,1.7,1.82
SAM154,2.01,,,68,47.48,1.27,0.4,0.79,,0.39,,26,38.73,432.33,,401.33,13.37,1.74,1.63
SAM155,3.1,,,84.93,52.25,1.31,0.39,0.8,,0.41,,29.57,40.37,463.67,,528,9.7,1.8,1.92
SAM156,2.55,,,83.06,50.74,1.13,0.4,0.83,,0.32,,24.67,41.33,483.44,,513.33,12.05,1.23,1.59
SAM157,3.15,,,84.09,54.37,1.3,0.36,0.78,,0.46,,33.2,42.03,493.32,,384,13.23,2.08,1.54
SAM158,2.92,,,79.46,51.17,1.29,0.38,0.79,,0.38,,30.43,34.87,366.21,,666.67,11.5,2.04,2.25
SAM159,1.49,,,53.79,36.49,1.3,0.5,0.85,,0.37,,26.13,42.67,507.59,,716,17.75,1.87,1.6
SAM160,1.87,,,57.83,41.51,1.49,0.42,0.8,,0.38,,24.33,42.17,496.3,,456,11.97,1.53,1.81
SAM161,2.31,,,61.6,42.06,1.31,0.44,0.83,,0.37,,20.33,40.07,457.32,,838,11.9,1.41,2.21
SAM162,2.51,,,76.16,51.87,1.62,0.36,0.75,,0.35,,26.87,41.63,487.56,,610.67,14.6,1.6,1.99
SAM163,3.16,,,88.23,63.64,1.43,0.28,0.76,,0.39,,31.57,34.13,353.77,,552,11.8,1.49,1.59
SAM164,3.16,,,98.22,59.93,1.32,0.34,0.8,,0.4,,24.13,38.3,424.36,,524,15.53,2.08,1.84
SAM165,1.96,,,59.94,44.87,1.48,0.38,0.8,,0.34,,24,43.87,532.27,,673.33,12.3,2.28,2
SAM166,2.47,,,75.03,48.32,1.39,0.41,0.83,,0.42,,21.3,40.6,466.88,,696,10.27,1.34,1.64
SAM167,2.68,,,87.48,51.42,1.25,0.41,0.85,,0.34,,26.23,36.67,396.42,,569.33,11.2,1.92,2.06
SAM168,2.18,,,64.71,48.25,1.32,0.35,0.77,,0.34,,30.23,37.67,413.02,,341.33,13.2,1.53,1.79
SAM169,3.33,,,94.68,57.25,1.33,0.39,0.83,,0.38,,31.67,36.27,389.41,,630.67,10.1,1.86,1.73
SAM170,2.55,,,73.96,51.58,1.25,0.35,0.81,,0.39,,28.67,33.67,346.62,,596,10.03,1.8,1.7
SAM171,2.05,,,74.45,48.45,1.39,0.41,0.83,,0.39,,23,36.07,386.39,,645.33,15.45,1.34,1.63
SAM172,1.76,,,87.01,52.33,1.42,0.4,0.81,,0.33,,27.1,43.47,528.73,,573.33,11.55,1.6,2.13
SAM173,2.42,,,73.83,48.12,1.4,0.41,0.81,,0.3,,23.2,38.2,423.31,,497.33,16.65,0.86,1.74
SAM174,2.46,,,67.2,47.41,1.39,0.38,0.82,,0.36,,32.33,38.93,438.33,,638.67,7.8,1.94,1.54
SAM175,3.02,,,88.19,55.46,1.26,0.36,0.85,,0.4,,32.67,37.83,416.19,,690.67,11.57,2.76,2.47
SAM176,2.37,,,67.26,41.81,1.51,0.46,0.83,,0.38,,29.57,46.67,588.07,,654.67,14.3,1.66,1.75
SAM177,3.04,,,73.22,51.04,1.37,0.35,0.77,,0.43,,28.03,38.63,430.39,,302.67,13.67,1.84,1.56
SAM178,1.81,,,74.42,47.42,1.32,0.42,0.83,,0.36,,27.47,43.93,533.09,,425.33,12.87,2.65,2.27
SAM179,3,,,64.84,45.82,1.4,0.39,0.82,,0.38,,27.1,39.87,452.56,,674.67,13.63,1.49,1.74
SAM180,2.62,,,75.81,52.29,1.44,0.35,0.77,,0.35,,29.2,39.4,444.68,,509.33,13.63,1.66,1.87
SAM181,2.88,,,75.01,49.15,1.29,0.39,0.83,,0.37,,29,38.37,425.36,,578.67,14.4,1.84,1.69
SAM182,2.94,,,101.31,53.21,1.28,0.45,0.86,,0.29,,26.33,35.47,376.12,,585.33,12.4,2.11,1.62
SAM183,2.75,,,62.99,41.08,1.55,0.45,0.85,,0.47,,30.63,33.63,345.81,,545.33,10.9,1.59,1.29
SAM184,2.65,,,84.64,52.38,1.21,0.38,0.84,,0.37,,29.23,36.1,386.2,,653.33,12.13,2.36,1.78
SAM185,2.64,,,85.83,55.63,1.33,0.35,0.8,,0.42,,30.33,41.4,481.26,,684,14.2,2.07,1.86
SAM186,1.98,,,56.31,38.63,1.41,0.47,0.85,,0.34,,27.23,46.23,579.02,,608,11.2,1.82,1.92
SAM187,2.34,,,80.9,52.96,1.36,0.36,0.79,,0.38,,35.8,42.93,510.85,,396,11.73,1.95,1.63
SAM188,3.79,,,108.59,58.03,1.24,0.4,0.82,,0.39,,28.1,37.73,417.48,,521.33,13.03,1.8,1.93
SAM189,1.92,,,50.11,37.1,1.51,0.45,0.83,,0.35,,32.57,39.27,441.74,,504,10.27,2.73,2.29
SAM190,2.71,,,76.34,48,1.34,0.42,0.86,,0.39,,24.23,41.83,490.41,,633.33,12.25,1.71,1.69
SAM191,2.23,,,78.82,50.53,1.49,0.39,0.81,,0.37,,27.9,37.67,413,,702.67,12.93,1.94,2.07
SAM192,1.6,,,58.99,43.88,1.52,0.39,0.8,,0.4,,31.23,39.13,439.14,,337.33,10.5,1.87,2.07
SAM193,1.7,,,66.78,45.2,1.39,0.42,0.82,,0.32,,22.65,43.5,524.76,,494,13.35,1.94,2.17
SAM194,1.91,,,65.08,49.72,1.55,0.34,0.77,,0.37,,28.9,44.53,543.12,,452,11.33,2.45,2.59
SAM195,2.08,,,58.17,43.47,1.29,0.39,0.79,,0.39,,21.85,44.75,550.73,,612,16.1,1.35,2.52
SAM196,1.67,,,73.95,46.17,1.45,0.43,0.82,,0.32,,19.53,37.43,409.42,,492,17.1,1.68,2.27
SAM197,1.82,,,78.83,48.28,1.28,0.43,0.82,,0.35,,26.13,41.4,481.86,,357.33,13.85,2.81,2.14
SAM198,1.74,,,69.44,42.64,1.37,0.47,0.84,,0.4,,31.7,45.5,563.84,,552,12.43,1.74,2.02
SAM199,1.9,,,74.14,45.46,1.39,0.44,0.82,,0.38,,28.43,42.5,503.27,,500,14.03,1.65,2.16
SAM200,2.16,,,64.54,45.67,1.59,0.38,0.82,,0.37,,27.57,38.67,432.65,,684,12.4,2.28,2.08
SAM201,1.9,,,65.97,43.25,1.54,0.44,0.84,,0.35,,23.23,37.3,406.61,,441.33,13.95,1.77,1.93
SAM202,0.99,,,81.04,47.61,1.46,0.45,0.83,,0.28,,17.85,33.9,350.58,,548,30.8,1.29,1.21
SAM203,2.63,,,80.11,47.84,1.49,0.45,0.85,,0.38,,27.7,41.5,483.11,,468,13.2,2.97,2.77
SAM204,1.57,,,54.88,41.48,1.47,0.4,0.83,,0.35,,30.1,42.87,510.6,,505.33,12.95,1.54,2.14
SAM205,1.21,,,68.42,43.16,1.3,0.45,0.82,,0.28,,16.63,36.27,393.33,,257.33,15.55,1.57,1.9
SAM206,0.74,,,62.02,42.09,1.37,0.44,0.84,,0.38,,26.58,38.18,423,,514,9.4,1.32,2.12
SAM207,3.07,,,79.64,50.82,1.33,0.37,0.77,,0.37,,31.57,44.1,534.2,,500,12.8,2.12,2.26
SAM208,1.83,,,42.71,34.58,1.38,0.45,0.84,,0.35,,26.2,41.2,478.85,,498.67,14.8,2.82,2.4
SAM209,2.35,,,71.96,44.34,1.43,0.47,0.9,,0.34,,27.43,39.07,438.95,,346,14.5,2.08,2.01
SAM210,1.26,,,57.59,41.52,1.55,0.42,0.84,,0.32,,30,35.93,383.69,,462.67,13.83,2.54,2.65
SAM211,2.06,,,75.55,46.56,1.63,0.44,0.84,,0.35,,16.23,39.63,448.27,,592,18.77,1.25,1.7
SAM212,2.09,,,69.83,49.98,1.57,0.39,0.82,,0.32,,24.67,41.13,477.46,,566.67,11,2.27,2.18
SAM213,1.82,,,71.17,46.3,1.35,0.41,0.8,,0.41,,26.33,43.9,530.07,,573.33,11.77,2.32,2.12
SAM214,1.25,,,41.9,35.6,1.45,0.42,0.84,,0.41,,35.58,41.88,490.43,,600,13.3,1.51,2.18
SAM215,1.31,,,59.59,41.12,1.53,0.43,0.84,,0.28,,20.9,36.23,389.42,,629.33,14.67,3.06,3.14
SAM216,1.34,,,61.05,46.52,1.38,0.35,0.77,,0.36,,26.97,37.37,408.77,,404,12.45,1.88,2.4
SAM217,2.45,,,83.86,53.12,1.33,0.38,0.8,,0.37,,31.23,39.1,438.8,,517.33,12.57,1.99,2.14
SAM218,0.72,,,57.4,40.07,1.56,0.46,0.85,,0.22,,14,35.3,376.72,,344,16.8,1.13,2.17
SAM219,1.69,,,71.63,44.65,1.33,0.45,0.87,,0.29,,28.77,36.2,388.98,,456,11.17,1.9,1.97
SAM220,2.33,,,53.39,39.59,1.5,0.46,0.85,,0.35,,26.13,45.07,555.49,,376,11.8,1.5,2.65
SAM222,1.42,,,82.68,48.02,1.42,0.45,0.84,,0.35,,23.9,41.73,487.93,,594.67,13.23,2.26,2.61
SAM223,2.11,,,65.4,45.79,1.48,0.39,0.78,,0.41,,28.47,45.4,560.62,,444,11.2,1.72,2.14
SAM224,1.63,,,57.49,41.3,1.22,0.4,0.83,,0.43,,33.18,40.58,467.97,,434.67,12.5,1.89,2.35
SAM225,1.71,,,68,43.45,1.36,0.45,0.84,,0.41,,27.23,40.67,467.52,,629.33,17.7,2.03,1.9
SAM226,2.16,,,53.05,37.76,1.5,0.46,0.87,,0.36,,24.23,40.63,468.01,,573.33,12.07,2.26,2.2
SAM227,1.95,,,65.88,45.88,1.62,0.39,0.82,,0.41,,29.57,41.1,475.68,,557.33,11.27,2.74,2.3
SAM228,2.31,,,78.07,48.64,1.36,0.42,0.83,,0.43,,31.03,41,474.03,,361.33,13.2,2.14,2.26
SAM229,3.36,,,117.43,54.89,1.29,0.49,0.84,,0.41,,28.57,37.07,403.93,,373.33,16,1.01,1.79
SAM230,2.64,,,87.57,49.9,1.29,0.44,0.85,,0.4,,24.47,37.9,418.43,,320,14.33,1.14,1.95
SAM231,1.85,,,61.74,40.85,1.65,0.46,0.84,,0.4,,26.43,39.03,439.88,,654.67,,1.1,2.06
SAM232,1.76,,,58.45,41.39,1.6,0.42,0.81,,0.46,,22.9,45.87,572.06,,426.67,14.15,1.02,2.67
SAM233,2.16,,,72.09,46.37,1.71,0.42,0.9,,0.44,,28,48.5,626.88,,476,,1.04,1.45
SAM234,4.19,,,135.21,62.91,1.53,0.42,0.85,,0.44,,27.87,42.43,502.26,,524,13.67,2.3,2.55
SAM235,3,,,105.48,49.48,1.34,0.54,0.93,,0.35,,26.67,41.33,479.95,,592,14.3,1.26,2.18
SAM236,2.19,,,67.43,40.53,1.56,0.51,0.91,,0.37,,26.18,36.58,396.21,,576,12.7,0.97,1.94
SAM237,2.1,,,78.89,45.5,1.14,0.48,0.89,,0.36,,24,37.8,415.66,,380,16.1,1.17,1.92
SAM238,2.26,,,74.49,45.5,1.42,0.45,0.83,,0.38,,31.8,47.63,608.06,,557.33,13.75,1.29,2.06
SAM239,2.43,,,73.73,48.35,1.39,0.4,0.85,,0.44,,28.43,39.23,441.53,,518.67,16.77,1.08,1.68
SAM240,2.09,,,74.81,45.29,1.18,0.46,0.87,,0.44,,35.23,37.22,405.7,,572.67,13.27,1.16,2.33
SAM241,1.83,,,60.15,39.53,1.56,0.48,0.86,,0.36,,22.3,60,910.84,,180,11.1,2.27,4.25
SAM242,1.18,,,42.85,39.28,1.45,0.35,0.81,,0.34,,26.2,43.53,522.95,,536,12.4,2.73,2.61
SAM243,0.58,,,37.73,31.13,1.79,0.49,0.9,,0.32,,25.18,38.78,435.13,,397,11.6,1.62,2.11
SAM244,1.48,,,73.32,47.38,1.42,0.41,0.84,,0.37,,27.57,34.43,358.89,,372,14.95,1.5,2.31
SAM245,2.04,,,81.53,45.79,1.48,0.49,0.87,,0.39,,24.77,39.27,441.93,,392,13.53,1.15,2
SAM247,1.8,,,58.33,43.37,1.45,0.39,0.79,,0.38,,28.57,47.53,607.21,,346.67,13.87,1.35,2.92
SAM248,1.51,,,55.64,38.97,1.62,0.46,0.88,,0.43,,18,44.8,548.25,,372,10.9,1.13,2.47
SAM249,1.18,,,40.73,33.34,2.04,0.46,0.88,,0.35,,21,35.1,369.38,,812,18.7,,
SAM250,1.96,,,66.53,41.84,1.48,0.48,0.88,,0.44,,25.67,45.07,553.88,,337.33,13.27,1.24,2.16
SAM251,1.55,,,49.89,38,1.48,0.43,0.82,,0.4,,27,46.3,580.38,,753.33,13.77,1.42,2.42
SAM252,1.24,,,40.55,34.13,1.74,0.44,0.84,,0.37,,25.32,36.66,397.22,,520.8,6.7,1.15,2.36
SAM253,3.41,,,122.65,63.01,1.18,0.39,0.87,,0.36,,31.77,37.23,405.48,,381.33,17.4,1.02,1.8
SAM254,1.59,,,52.66,37.1,1.3,0.48,0.85,,0.46,,25.57,41.67,486.83,,417.33,16.2,1.1,1.76
SAM255,4.11,,,101.63,50.86,1.33,0.49,0.9,,0.41,,33.54,39.52,447.3,,601,13.76,1,2.07
SAM256,2.3,,,72.13,53.22,1.53,0.32,0.75,,0.37,,24.43,46.17,577.07,,462.67,15.8,1.53,2.29
SAM257,2.46,,,78.08,52.12,1.86,0.36,0.81,,0.43,,27.2,48.3,623.27,,468,16.43,1.34,2.44
SAM258,3.25,,,104.8,60.11,1.51,0.36,0.82,,0.43,,23.57,38.03,419.47,,688,13.43,1.14,2
SAM259,2.45,,,85.64,45.49,1.12,0.52,0.88,,0.4,,32.1,44.33,540.23,,301.33,12.5,2.05,2.99
SAM260,2.27,,,81.9,44.51,1.31,0.52,0.88,,0.48,,25.8,44.53,543.09,,241.33,14.57,1.04,1.91
SAM261,2.99,,,99.83,53.99,1.29,0.43,0.85,,0.35,,31.53,38.77,434.54,,426.67,12.45,1.59,2.18
SAM262,2.8,,,88.85,53.98,1.46,0.39,0.79,,0.38,,26.33,38.8,433.33,,646.67,13.35,1.05,1.73
SAM263,3.18,,,101.74,53.48,1.42,0.45,0.84,,0.37,,27.47,39.07,437.93,,473.33,14.75,1.44,2.23
SAM264,1.79,,,60.95,42.6,1.29,0.42,0.85,,0.36,,27.2,39.97,455.19,,301.33,14.2,1.11,1.88
SAM265,3.61,,,130.66,56.74,1.22,0.51,0.87,,0.42,,30.43,39.77,451.86,,468,13.3,1.55,2.11
SAM266,2.24,,,60.9,46.03,1.59,0.36,0.85,,0.37,,26.1,34.5,360.24,,588,14.43,1.46,2.51
SAM267,,,,68.73,43.48,1.45,0.46,0.85,,0.43,,35.1,41.07,475.94,,630.67,13.23,1.36,2.01
SAM268,,,,54.05,34.56,1.21,0.55,0.89,,0.4,,27.3,38.3,425,,452,13.5,1.06,2.14
SAM269,,,,46.31,34.84,1.21,0.47,0.88,,0.44,,33.33,40.27,460.35,,524,12.7,1.27,2.32
SAM270,,,,60.02,46.34,1.45,0.35,0.79,,0.41,,32.33,42.3,499.49,,664,12.05,1.03,2.06
SAM271,,,,48.07,38.74,1.25,0.4,0.82,,0.44,,28.1,40.63,467.82,,901.33,,0.79,1.93
SAM272,,,,36.55,33.46,1.39,0.41,0.87,,0.5,,36.33,43.43,523.89,,836,,1.09,2.41
SAM273,,,,62.78,40.73,1.35,0.46,0.84,,0.46,,32,38.53,428.42,,581.33,13.7,0.79,1.85
SAM274,,,,27.87,25.92,1.75,0.52,0.89,,0.42,,30.5,40.8,470.07,,542,,1.17,1.78
SAM275,,,,39.95,36.22,1.58,0.38,0.82,,0.42,,26.9,39.83,451.87,,552,,1.39,2.33
SAM276,,,,59.66,39.23,1.45,0.48,0.86,,0.41,,29.77,39.83,453.21,,693.33,13.4,0.96,1.99
SAM277,,,,29.25,24.52,1.27,0.61,0.94,,0.41,,31,41.43,486.74,,588,,1.51,2.39
SAM278,,,,38.08,34.17,1.4,0.42,0.81,,0.41,,30.67,38.4,427.17,,650.67,,1.28,2.4
SAM279,,,,37.05,31.05,1.59,0.48,0.86,,0.35,,28.77,32.83,335.21,,364,,0.86,1.83
SAM280,,,,57.52,40.78,1.31,0.44,0.85,,0.48,,29.7,37,401.79,,742.67,15,1.22,1.65
SAM281,,,,33.32,28.02,1.64,0.53,0.91,,0.41,,30.1,39.3,443.66,,470.67,,0.97,1.65
SAM282,,,,37.31,36.85,1.65,0.35,0.8,,0.44,,30.33,42.17,496.61,,725.33,,1.19,2.58
SAM283,,,,43.75,34.46,2.14,0.46,0.9,,0.46,,28.87,42.23,497.62,,357.33,14.1,1.14,2.44
SAM284,,,,47.32,40.61,1.55,0.36,0.81,,0.43,,37.67,35.8,384.28,,417.33,10.4,1.88,2.19
SAM285,,,,63.08,42.78,1.59,0.44,0.87,,0.5,,42.97,41.63,486.68,,573.33,14.1,1.02,2.24
SAM286,,,,37.02,31.29,1.47,0.47,0.89,,0.43,,28.9,38.23,423.07,,654.67,,1.19,2.71
SAM287,,,,45.78,38.4,1.29,0.39,0.78,,0.44,,34,46.07,576.3,,604,,1.16,2.51
SAM288,,,,26.42,31.64,1.73,0.34,0.84,,0.41,,32.9,45.5,563.03,,697.33,,1.06,2.44